ID,Type,Severity,"IP Address",Action,Detected,Resolved
9,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
14,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
19,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
24,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
29,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
34,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
39,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
44,"Brute Force",Medium,203.0.113.5,Flagged,"2026-06-18 10:10:13",No
8,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
13,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
18,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
23,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
28,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
33,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
38,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
43,XSS,High,198.51.100.13,Flagged,"2026-06-18 10:04:20",No
7,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
12,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
17,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
22,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
27,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
32,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
37,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
42,XSS,High,198.51.100.12,Flagged,"2026-06-18 10:03:15",No
6,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
11,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
16,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
21,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
26,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
31,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
36,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
41,"SQL Injection",High,198.51.100.11,Flagged,"2026-06-18 10:02:10",No
5,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
10,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
15,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
20,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
25,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
30,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
35,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
40,"SQL Injection",Medium,198.51.100.10,Flagged,"2026-06-18 10:01:05",No
